car speed(m/s),Yaw Angle (degree),LB Position X,LB Position Z,LB speed,LF Position X,LF Position Z,LF speed,B Position X,B Position Z,B speed,F Position X,F Position Z,F speed,RB Position X,RB Position Z,RB speed,RF Position X,RF Position Z,RF speed,LC
19.698,-1.51,0,0,0,0,0,0,-0.13,-138.31,15.701,0,0,0,0,0,0,0,0,0,0
19.673,-1.5,0,0,0,0,0,0,-0.29,-138.7,15.753,0,0,0,0,0,0,0,0,0,0
19.648,-1.49,0,0,0,0,0,0,-0.46,-139.08,15.699,0,0,0,0,0,0,0,0,0,0
19.623,-1.48,0,0,0,0,0,0,-0.65,-139.46,15.709,0,0,0,0,0,0,0,0,0,0
19.598,-1.47,0,0,0,0,0,0,-0.86,-139.84,15.676,0,0,0,0,0,0,0,0,0,0
19.573,-1.46,0,0,0,0,0,0,-1.08,-140.22,15.665,0,0,0,0,0,0,0,0,0,0
19.549,-1.46,0,0,0,0,0,0,-1.31,-140.59,15.654,0,0,0,0,0,0,0,0,0,0
19.524,-1.45,0,0,0,0,0,0,-1.55,-140.96,15.686,0,0,0,0,0,0,0,0,0,0
19.5,-1.45,0,0,0,0,0,0,-1.79,-141.33,15.695,0,0,0,-3.19,-66.53,14.214,0,0,0,0
19.476,-1.44,0,0,0,0,0,0,-2.04,-141.7,15.642,0,0,0,-3.52,-67.03,14.371,0,0,0,0
19.451,-1.44,0,0,0,0,0,0,-2.3,-142.06,15.694,0,0,0,-3.85,-67.52,14.529,0,0,0,0
19.427,-1.44,0,0,0,0,0,0,-2.56,-142.42,15.703,0,0,0,-4.2,-67.98,14.637,0,0,0,0
19.403,-1.44,0,0,0,0,0,0,-2.82,-142.77,15.617,0,0,0,-4.55,-68.43,14.762,0,0,0,0
19.379,-1.43,0,0,0,0,0,0,-3.08,-143.13,15.692,0,0,0,-4.91,-68.87,14.886,0,0,0,0
19.299,-1.43,0,0,0,0,0,0,-3.35,-143.47,15.734,0,0,0,-5.27,-69.28,15.043,0,0,0,0
19.325,-1.43,0,0,0,0,0,0,-3.61,-143.82,15.658,0,0,0,-5.58,-69.69,15.07,0,0,0,0
19.415,-1.43,0,0,0,0,0,0,-3.87,-144.17,15.69,0,0,0,-5.69,-70.11,15.227,0,0,0,0
19.513,-1.43,0,0,0,0,0,0,-4.14,-144.54,15.657,0,0,0,-5.79,-70.52,15.238,0,0,0,0
19.613,-1.43,0,0,0,0,0,0,-4.42,-144.9,15.709,0,0,0,-5.89,-70.95,15.297,0,0,0,0
19.713,-1.43,0,0,0,0,0,0,-4.7,-145.28,15.708,0,0,0,-6,-71.38,15.292,0,0,0,0
19.812,-1.42,0,0,0,0,0,0,-4.99,-145.66,15.793,0,0,0,-6.11,-71.82,15.351,0,0,0,0
19.912,-1.42,0,0,0,0,0,0,-5.3,-146.05,15.697,0,0,0,-6.23,-72.27,15.443,0,0,0,0
