car speed(m/s),LB Position X,LB Position Z,LB speed,LF Position X,LF Position Z,LF speed,B Position X,B Position Z,B speed,F Position X,F Position Z,F speed,RB Position X,RB Position Z,RB speed,RF Position X,RF Position Z,RF speed,LC
25.008,0,0,0,3.24,109.32,16.063,7.47,-103.5,15.453,0.28,138.96,15.776,-3.24,-0.91,15.605,0,0,0,0
25.008,0,0,0,3.24,108.43,16.148,7.36,-104.46,15.485,0.28,138.03,15.785,-3.25,-1.86,15.501,0,0,0,0
24.996,0,0,0,3.24,107.55,16.169,7.36,-105.42,15.567,0.28,137.11,15.72,-3.25,-2.81,15.51,0,0,0,0
25.012,0,0,0,3.24,106.66,16.103,7.22,-106.37,15.571,0.28,136.18,15.799,-3.25,-3.75,15.577,0,0,0,0
25,0,0,0,3.24,105.77,16.004,7.08,-107.34,15.526,0.28,135.26,15.738,-3.25,-4.7,15.644,0,0,0,0
25.013,0,0,0,3.25,104.87,15.993,6.93,-108.29,15.58,0.44,134.33,15.759,-3.24,-5.63,15.721,0,0,0,0
25.008,0,0,0,3.25,103.96,15.894,6.76,-109.26,15.536,0.43,133.41,15.743,-3.24,-6.55,15.767,0,0,0,0
24.997,0,0,0,3.25,103.05,16.013,6.72,-110.21,15.567,0.43,132.48,15.665,-3.24,-7.48,15.706,0,0,0,0
25.014,0,0,0,3.25,102.16,16.058,6.57,-111.16,15.597,0.42,131.54,15.57,-3.24,-8.41,15.646,0,0,0,0
25.004,0,0,0,3.25,101.27,16.114,6.43,-112.11,15.649,0.41,130.58,15.433,-3.24,-9.34,15.637,0,0,0,0
25.006,0,0,0,3.25,100.37,15.974,6.5,-113.04,15.688,0.4,129.61,15.281,-3.24,-10.28,15.689,0,0,0,0
25.014,0,0,0,3.25,99.47,15.931,6.46,-113.98,15.737,0.4,128.63,15.228,-3.24,-11.22,15.632,0,0,0,0
25.003,0,0,0,3.25,98.56,16.018,6.43,-114.91,15.736,0.39,127.65,15.34,-3.24,-12.15,15.685,0,0,0,0
25.01,0,0,0,3.25,97.66,15.878,6.41,-115.84,15.686,0.38,126.69,15.287,-3.24,-13.08,15.794,0,0,0,0
25.015,0,0,0,3.25,96.74,15.912,6.37,-116.78,15.665,0.38,125.71,15.218,-3.24,-14,15.808,0,0,0,0
25.004,0,0,0,3.25,95.84,16.035,6.33,-117.72,15.655,0.37,124.74,15.232,-3.24,-14.92,15.808,0,0,0,0
25.006,0,0,0,3.25,94.95,16.026,6.28,-118.67,15.585,0.36,123.76,15.296,-3.24,-15.84,15.81,0,0,0,0
25.01,0,0,0,3.25,94.05,16.061,6.23,-119.62,15.565,0.36,122.78,15.294,-3.24,-16.76,15.797,0,0,0,0
